20231126	17:02:32	0e236598-34a6-4cdb-ad54-3cab8a7d327d	GET undefined 	 /k	 
20231126	17:02:32	44fea380-a285-4ae9-9fe0-88e6090e5e9b	GET undefined 	 /css/style.css	 
20231126	17:04:15	33fce446-dd55-4e48-9dd1-bb9724351f1d	GET undefined 	 /k	 
20231126	17:07:11	8f69191a-07ea-4d2e-ad50-7189f6af8c59	GET undefined 	 /k	 
20231126	17:07:11	8e4731b5-1dee-42a8-90bc-126a6beae8f0	GET undefined 	 /css/style.css	 
20231126	17:07:26	cf9a7f19-67e3-4ea4-92d8-dd39a459fa2a	GET undefined 	 /k	 
20231126	17:07:26	499fe333-0788-495d-90e2-cdcc5c63a1d1	GET undefined 	 /css/style.css	 
20231126	17:07:35	29d480a1-b07b-4abd-8099-4f88b2f67574	GET undefined 	 /kdffdsf	 
20231126	17:07:35	2a4b4402-9568-408b-af9e-8142efb4f600	GET undefined 	 /css/style.css	 
20231126	17:07:39	21b56a14-9e83-42ac-9c04-de466de1859d	GET undefined 	 /	 
20231126	17:07:39	a77a0119-c6de-4a06-aaa2-6b9cde4969d1	GET undefined 	 /css/style.css	 
